Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NOW,NVDA,ORCL,PEP,PFE,PG,PLTR,PM,PYPL
2024-07-10,232.1995849609375,163.7454071044922,101.49274444580078,292.9575500488281,564.5499877929688,74.76821899414062,183.9600067138672,314.3716125488281,193.6286163330078,199.7899932861328,172.9091339111328,236.96163940429688,183.72999572753906,40.98160934448242,59.54758071899414,3966.106689453125,798.884521484375,39.789554595947266,65.30630493164062,324.78582763671875,293.95001220703125,95.87022399902344,36.51088333129883,135.15982055664062,110.05348205566406,880.90771484375,251.51145935058594,45.30580139160156,55.554771423339844,150.19790649414062,347.7424621582031,241.3133087158203,96.5422134399414,99.9925765991211,110.01905822753906,288.8269348144531,279.07586669921875,164.60044860839844,67.0749282836914,46.191978454589844,191.96998596191406,190.4886932373047,471.3892517089844,338.16400146484375,211.147705078125,173.76187133789062,34.65019226074219,629.6320190429688,444.739990234375,145.9555206298828,204.21530151367188,61.47877883911133,430.9258117675781,935.3051147460938,452.2578125,217.795166015625,431.7420959472656,246.13058471679688,64.54431915283203,75.20475769042969,70.10299682617188,533.2754516601562,100.09613037109375,44.349334716796875,124.37529754638672,101.06087493896484,463.55194091796875,71.36070251464844,677.6500244140625,71.48931121826172,743.1500244140625,134.87677001953125,140.50088500976562,159.5721435546875,27.080196380615234,163.83465576171875,28.420000076293945,99.62446594238281,58.900001525878906
2024-07-11,226.80772399902344,165.46914672851562,102.60565948486328,296.781982421875,557.6300048828125,75.75252532958984,181.94000244140625,317.7140197753906,203.89208984375,195.0500030517578,169.06979370117188,236.78314208984375,183.91000366210938,41.05033874511719,60.30295944213867,3912.78857421875,811.546630859375,39.4315299987793,64.06803131103516,327.4060363769531,304.1400146484375,96.23445129394531,36.82302474975586,137.5145721435547,111.4813461303711,843.3328247070312,250.0477294921875,45.78559112548828,56.211421966552734,150.3237762451172,357.7039794921875,245.368408203125,96.17384338378906,101.57759857177734,112.63386535644531,295.0019836425781,281.2933654785156,161.11778259277344,68.26520538330078,47.581809997558594,186.62918090820312,184.8990020751953,471.7239074707031,347.6060791015625,211.50209045410156,174.22109985351562,33.2888298034668,626.2193603515625,443.5,146.21925354003906,203.87132263183594,61.74296569824219,430.86639404296875,929.69189453125,451.6397705078125,226.68495178222656,434.5099182128906,250.36558532714844,63.947139739990234,76.19043731689453,70.9056396484375,511.3435974121094,101.6319808959961,44.491085052490234,126.00691986083984,102.21351623535156,452.06878662109375,73.12268829345703,652.75,72.32699584960938,749.1400146484375,127.36861419677734,141.5818634033203,159.9232940673828,27.376310348510742,162.59703063964844,27.639999389648438,101.79611206054688,59.9900016784668
2024-07-12,229.76776123046875,165.8294677734375,102.64505004882812,309.3707580566406,559.0499877929688,75.9297103881836,181.61000061035156,323.3237609863281,207.24765014648438,194.49000549316406,168.5465087890625,236.66412353515625,182.30999755859375,40.83433151245117,63.46183395385742,4002.268310546875,814.5964965820312,39.150909423828125,62.907772064208984,331.8158264160156,311.0400085449219,96.53961181640625,37.34976577758789,136.9407196044922,110.65005493164062,839.6570434570312,252.88555908203125,46.39267349243164,56.974300384521484,150.64328002929688,361.3937683105469,245.79684448242188,96.70150756835938,102.48193359375,113.0680160522461,294.4898376464844,281.0359802246094,158.22219848632812,68.25544738769531,48.653961181640625,186.1110382080078,184.40078735351562,472.3637390136719,353.48150634765625,211.75802612304688,178.63743591308594,34.27259063720703,638.69580078125,444.1600036621094,146.3950653076172,201.40463256835938,62.3300666809082,436.6226501464844,943.8839721679688,454.92620849609375,230.95716857910156,438.1837463378906,249.48123168945312,63.986305236816406,76.07332611083984,71.83551025390625,497.5501403808594,102.429443359375,45.10533905029297,124.82472229003906,101.67626953125,450.9254150390625,74.39524841308594,647.5999755859375,72.35655975341797,758.489990234375,129.2081756591797,143.5752716064453,162.29364013671875,27.624666213989258,163.6480255126953,28.06999969482422,102.71711730957031,60.27000045776367
2024-07-15,233.61483764648438,165.14151000976562,101.94207000732422,316.5813903808594,565.7100219726562,76.40217590332031,179.8300018310547,322.6591796875,205.5059051513672,192.72000122070312,169.8874053955078,241.98988342285156,179.11000061035156,41.12887954711914,64.46245574951172,4063.468994140625,809.66748046875,38.85094451904297,63.51227569580078,341.88134765625,324.5899963378906,95.7323989868164,37.983802795410156,143.0749053955078,112.048583984375,845.464599609375,251.78030395507812,46.412254333496094,56.65563201904297,153.01539611816406,367.66546630859375,245.32855224609375,96.44265747070312,102.41386413574219,115.41641235351562,300.39892578125,282.55059814453125,158.76947021484375,69.08473205566406,48.941856384277344,187.51597595214844,185.85549926757812,484.5202941894531,352.1944274902344,212.35853576660156,178.68629455566406,34.242774963378906,654.843505859375,437.25,145.7699432373047,206.42648315429688,62.04629898071289,434.1259460449219,945.9342041015625,455.0733337402344,229.07266235351562,442.0567321777344,247.15249633789062,62.99752426147461,75.22428131103516,72.85348510742188,494.84735107421875,101.12987518310547,45.095890045166016,125.17643737792969,102.81914520263672,451.3330383300781,69.4714584350586,656.4500122070312,70.2771224975586,767.8499755859375,128.40835571289062,141.88931274414062,159.83551025390625,27.79660415649414,161.65411376953125,28.670000076293945,101.86397552490234,60.470001220703125
2024-07-16,234.033447265625,166.2913818359375,101.7044448852539,323.6824951171875,566.5399780273438,77.06166076660156,177.5500030517578,325.5813903808594,206.79498291015625,193.02000427246094,167.86563110351562,247.57350158691406,186.0500030517578,43.328182220458984,63.78556442260742,4094.3720703125,830.3086547851562,39.86697006225586,65.58905029296875,356.5248107910156,327.4200134277344,95.88005828857422,38.637351989746094,147.97235107421875,112.65494537353516,847.496826171875,254.936767578125,46.43183517456055,57.99790573120117,152.75396728515625,373.44256591796875,251.2169189453125,98.03559875488281,103.5904769897461,117.29117584228516,308.7701721191406,288.6585388183594,162.04318237304688,69.8945083618164,49.40843963623047,184.83563232421875,183.2549591064453,495.14129638671875,362.6680908203125,215.065673828125,181.54908752441406,34.12353515625,662.7730712890625,438.010009765625,147.498779296875,209.9348907470703,62.8878059387207,441.6061096191406,937.1163330078125,459.68408203125,237.75526428222656,441.58880615234375,252.79257202148438,64.44641876220703,76.2197265625,74.05743408203125,488.4942321777344,101.71074676513672,45.38884735107422,122.55802154541016,103.75688171386719,446.91876220703125,70.38182067871094,656.3200073242188,71.7553939819336,760.7899780273438,126.32887268066406,141.43310546875,160.71339416503906,28.178688049316406,163.98196411132812,28.670000076293945,102.862548828125,61.810001373291016
2024-07-17,228.1133270263672,172.25704956054688,103.64506530761719,324.2800598144531,563.0900268554688,77.34710693359375,159.42999267578125,328.0539855957031,209.7175750732422,187.92999267578125,154.58543395996094,247.90078735351562,184.83999633789062,43.180904388427734,62.87321853637695,3965.69921875,827.5046997070312,41.753875732421875,65.9205551147461,353.77606201171875,330.29998779296875,97.83900451660156,39.593284606933594,147.88331604003906,113.52535247802734,843.0240478515625,250.1472930908203,47.508914947509766,59.48502731323242,156.10397338867188,380.98046875,250.33016967773438,96.8807144165039,104.55315399169922,116.67940521240234,305.72698974609375,289.0545349121094,155.88385009765625,71.51406860351562,49.53750228881836,181.96592712402344,180.3654327392578,494.314453125,365.38970947265625,216.77857971191406,183.1514892578125,34.242774963378906,655.5697631835938,426.2300109863281,152.9392852783203,213.12881469726562,63.807594299316406,445.1331787109375,901.2778930664062,467.03192138671875,239.79763793945312,449.1854248046875,256.4576721191406,65.70931243896484,79.30364227294922,74.56641387939453,460.76776123046875,103.02014923095703,46.6740608215332,122.9976806640625,104.47972106933594,440.9534606933594,69.4029312133789,647.4600219726562,72.01162719726562,736.0700073242188,117.96092987060547,138.1107635498047,165.7174072265625,28.68494987487793,166.42770385742188,28.219999313354492,105.00511932373047,61.2400016784668
2024-07-18,223.42906188964844,168.1980438232422,99.08065032958984,326.7699279785156,556.8499755859375,76.83526611328125,155.77000427246094,323.4606018066406,207.28701782226562,183.75,159.08485412597656,247.14703369140625,180.22999572753906,42.22853088378906,62.27479934692383,3906.9736328125,815.6099853515625,41.01846694946289,63.268524169921875,352.0260009765625,321.6300048828125,96.97274017333984,39.154335021972656,147.1412811279297,114.04369354248047,836.1405639648438,246.29383850097656,47.038917541503906,57.85305404663086,156.82044982910156,376.5388488769531,243.89381408691406,96.36300659179688,103.95999908447266,114.99212646484375,301.9747009277344,290.3216552734375,158.00328063964844,71.71894836425781,49.28931427001953,178.578125,177.04747009277344,478.5945739746094,359.6812438964844,214.2781524658203,180.97264099121094,34.65019226074219,634.2384643554688,416.1400146484375,151.80625915527344,206.357666015625,63.78801727294922,441.9132385253906,844.8577880859375,466.9632568359375,236.17660522460938,446.756103515625,255.00340270996094,65.51351928710938,79.25485229492188,73.79314422607422,474.5910949707031,102.40975189208984,46.61735916137695,121.3953628540039,102.37957000732422,437.8216857910156,70.15666961669922,643.0399780273438,71.33161926269531,738.77001953125,121.06016540527344,136.8909149169922,166.1856231689453,28.37928009033203,165.4454803466797,28.639999389648438,104.1810531616211,60.0
2024-07-19,223.55862426757812,169.35775756835938,101.02127075195312,327.8554992675781,551.0,73.25238037109375,151.5800018310547,323.7733459472656,206.78515625,183.1300048828125,155.9431915283203,240.38323974609375,179.6699981689453,42.12053298950195,61.49979782104492,3943.443603515625,817.282470703125,41.2603759765625,63.51227569580078,343.720458984375,320.30999755859375,97.04199981689453,39.0958137512207,145.7066650390625,111.83342742919922,834.9053955078125,246.5726318359375,46.333919525146484,57.52473068237305,154.090087890625,373.9866027832031,242.6483917236328,95.31764221191406,103.96971893310547,114.14354705810547,301.6694030761719,285.3224182128906,158.3416290283203,70.7920913696289,47.949119567871094,178.74749755859375,177.017578125,477.33465576171875,357.0087890625,211.26583862304688,179.0478057861328,32.7721061706543,633.3331298828125,455.010009765625,151.09324645996094,206.16111755371094,63.8858757019043,440.6351318359375,853.386962890625,465.9037170410156,235.33795166015625,441.74810791015625,252.8024139404297,65.05338287353516,77.56649780273438,73.1960678100586,475.52862548828125,102.31129455566406,46.73075866699219,122.88043975830078,99.72264862060547,434.5805358886719,70.47970581054688,633.3400268554688,71.64698791503906,751.2000122070312,117.90093994140625,137.41653442382812,165.20042419433594,28.627635955810547,165.9662322998047,28.579999923706055,103.85143280029297,59.33000183105469
2024-07-22,223.20980834960938,170.62559509277344,102.6945571899414,330.1661071777344,554.8200073242188,74.88633728027344,155.8699951171875,328.34716796875,206.02743530273438,182.5500030517578,159.62002563476562,242.73370361328125,178.89999389648438,41.53143310546875,62.52775955200195,3885.940673828125,829.6199340820312,41.28940200805664,62.88827133178711,345.3585510253906,312.9700012207031,96.91337585449219,38.55931091308594,143.569580078125,109.84810638427734,844.1596069335938,252.99508666992188,45.844337463378906,56.96320724487305,151.998779296875,375.163818359375,249.97149658203125,93.7147445678711,104.57261657714844,116.26498413085938,302.77239990234375,288.2823791503906,161.95362854003906,70.645751953125,49.19997024536133,182.69332885742188,181.01307678222656,479.4115905761719,356.9007263183594,213.5890655517578,179.9271697998047,33.15964889526367,641.2527465820312,461.1199951171875,150.65370178222656,206.6525115966797,63.377052307128906,441.97265625,861.8464965820312,465.5799865722656,237.06460571289062,445.9794921875,255.02310180664062,65.14149475097656,77.39083099365234,73.64632415771484,486.11053466796875,103.34504699707031,46.68350601196289,122.80227661132812,100.06452941894531,440.3768310546875,71.36070251464844,647.5,73.77571105957031,756.5,123.50955963134766,139.01324462890625,163.5421905517578,28.27420997619629,166.25279235839844,28.459999084472656,103.94837188720703,60.77000045776367
2024-07-23,224.25628662109375,170.17347717285156,102.892578125,328.9908752441406,546.010009765625,75.67378234863281,154.0,325.6790771484375,206.175048828125,186.41000366210938,162.30580139160156,244.86598205566406,186.47999572753906,41.63943099975586,62.89347839355469,3895.681640625,831.0465087890625,41.58937454223633,63.04427719116211,341.6852722167969,320.0400085449219,95.52819061279297,37.56435775756836,143.95545959472656,108.3908920288086,848.8316040039062,254.96664428710938,45.39392852783203,56.61164093017578,149.19097900390625,367.51708984375,263.21282958984375,90.538818359375,104.1642074584961,116.05777740478516,296.24285888671875,291.49969482421875,171.14784240722656,69.43596649169922,46.04307174682617,182.94244384765625,181.13262939453125,484.4415283203125,353.33416748046875,213.99267578125,179.87832641601562,32.7422981262207,633.8703002929688,455.05999755859375,148.80764770507812,206.70164489746094,63.56296157836914,443.2705383300781,874.1077880859375,491.7730712890625,235.1307373046875,439.7867126464844,249.62863159179688,64.62264251708984,77.4884262084961,73.5973892211914,487.3971252441406,103.1087646484375,46.41890335083008,121.52236938476562,101.0999526977539,442.2757873535156,70.58738708496094,642.760009765625,72.33684539794922,765.52001953125,122.5597915649414,141.92898559570312,162.19606018066406,28.178688049316406,164.6421356201172,28.809999465942383,106.21697235107422,59.709999084472656
